TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-15,22,BAL0331,70.94
2023-06-15,11,BRY0661,52.88
2023-06-15,42,DOB0661,83.29
2023-06-15,10,DVK0111,72.75
2023-06-15,18,ISL2201,2136.92
2023-06-15,38,KIN0113,199.17
2023-06-15,40,KOE1101,196.09
2023-06-15,17,MAT1101,3915.23
2023-06-15,44,MNG1101,107.44
2023-06-15,2,MST0331,104.72
2023-06-15,24,MTO0331,3.95
2023-06-15,4,NPK0331,71.79
2023-06-15,20,OKN0111,245.93
2023-06-15,29,OPK0331,119.10
2023-06-15,18,PEN0251,2439.63
2023-06-15,17,RFN1101,3967.86
2023-06-15,31,ROT0331,144.60
2023-06-15,34,STK0331,105.80
2023-06-15,19,TGA0111,1709.32
2023-06-15,28,TIM0111,89.67
2023-06-15,16,TKU2201,3957.90
2023-06-15,34,TNG0551,122.54
2023-06-15,41,WKO0331,147.82
2023-06-15,35,WPR0661,121.22
2023-06-15,44,WTU0331,101.88
2023-06-15,45,ATI2201,95.21
2023-06-15,15,BPD1101,1814.00
2023-06-15,36,BPE0551,212.67
2023-06-15,19,CML0331,1396.67
2023-06-15,16,GOR0331,3498.01
2023-06-15,37,HOR0661,168.05
2023-06-15,46,INV2201,49.77
2023-06-15,11,KIN0113,68.89
2023-06-15,27,KPO1101,119.18
2023-06-15,8,KUM0661,52.50
2023-06-15,23,LTN2201,17.27
2023-06-15,42,MCH0111,82.14
2023-06-15,13,MDN1101,66.57
2023-06-15,15,MGM0331,2023.17
2023-06-15,45,MHO0331,94.48
2023-06-15,6,MLG0331,62.87
2023-06-15,42,MNG1101,121.49
2023-06-15,24,MTM0331,3.52
2023-06-15,36,PPI2201,224.81
2023-06-15,39,RFN1102,152.80
2023-06-15,23,SWN0251,19.60
2023-06-15,45,SWN0251,103.01
2023-06-15,1,SWN2201,137.82
2023-06-15,16,TKA0331,3453.05
2023-06-15,12,TKB2201,49.95
2023-06-15,39,TKU2201,166.92
2023-06-15,3,TMI0331,78.94
2023-06-15,39,TWI2201,131.08
2023-06-15,36,WPR0331,206.09
2023-06-15,23,BPE0331,17.41
2023-06-15,31,CST0331,137.86
2023-06-15,35,CUL0661,123.72
2023-06-15,40,HAY0331,153.84
2023-06-15,31,HAY1101,130.76
2023-06-15,19,HEP0331,1816.81
2023-06-15,36,HOR0331,208.99
2023-06-15,32,KAI0111,32.94
2023-06-15,2,KIK2201,53.58
2023-06-15,25,MDN1101,28.42
2023-06-15,30,OPK0331,120.75
2023-06-15,4,ROS0221,72.97
2023-06-15,17,ROT0111,4089.91
2023-06-15,22,ROX1101,68.01
2023-06-15,44,ROX1101,49.50
2023-06-15,46,TKR0331,76.84
2023-06-15,5,WIR0331,68.14
2023-06-15,10,WPR0661,52.84
2023-06-15,43,WRD0331,105.90
2023-06-15,29,WTK2201,99.70
2023-06-15,42,WTK2201,72.30
2023-06-15,47,ALB0331,118.79
2023-06-15,5,ARG1101,53.30
2023-06-15,32,ARI1101,134.10
2023-06-15,2,BPE0331,104.05
2023-06-15,29,CML0331,97.78
2023-06-15,42,CYD2201,70.05
2023-06-15,17,INV2201,3355.80
2023-06-15,36,INV2202,181.90
2023-06-15,33,KBY0662,70.74
2023-06-15,3,MLG0331,71.94
2023-06-15,26,MNG1101,124.68
2023-06-15,7,MNI0111,67.49
2023-06-15,5,MTN0331,65.20
2023-06-15,14,ONG0331,84.50
2023-06-15,13,PRM0331,57.49
2023-06-15,26,STU0111,100.94
2023-06-15,10,THI2201,73.67
2023-06-15,41,TIM0111,103.99
2023-06-15,19,TKR0331,1565.84
2023-06-15,33,TMK0331,66.39
2023-06-15,47,WAI0501,110.94
2023-06-15,35,WHI2201,137.12
2023-06-15,37,WTK0111,149.01
2023-06-15,9,WWD1103,67.28
2023-06-15,36,BRK0331,214.31
2023-06-15,23,BRY0661,16.36
2023-06-15,31,DVK0111,136.04
2023-06-15,17,GLN0331,4247.48
2023-06-15,22,GYT0331,80.79
2023-06-15,21,HIN0331,100.08
2023-06-15,28,HLY2201,111.45
2023-06-15,24,HWB1101,2.73
2023-06-15,16,KMO0331,4224.95
2023-06-15,42,KPU0661,125.65
2023-06-15,21,MNG0331,103.11
2023-06-15,18,OTA2201,2428.21
2023-06-15,45,PEN1101,103.41
2023-06-15,31,RFN1102,129.18
2023-06-15,40,SBK0661,146.54
2023-06-15,29,TMU0111,129.31
2023-06-15,44,TWC2201,92.85
2023-06-15,44,WTK0111,51.02
2023-06-15,43,WTK2201,56.44
2023-06-15,19,BPD1101,1466.40
2023-06-15,27,BPE0551,109.57
2023-06-15,37,BRY0661,163.97
2023-06-15,23,EDN0331,14.99
2023-06-15,23,GFD0331,16.90
2023-06-15,18,GYT0331,2216.05
2023-06-15,10,HOR0331,53.39
2023-06-15,42,HWA1101,105.74
2023-06-15,10,HWB0331,49.25
2023-06-15,38,HWB2201,166.63
2023-06-15,32,ISL0331,31.04
2023-06-15,9,KBY0662,53.08
2023-06-15,32,PRM0331,128.97
2023-06-15,37,RFN1102,173.03
2023-06-15,23,ROS1101,19.82
2023-06-15,37,ROX2201,145.51
2023-06-15,45,SBK0661,61.29
2023-06-15,14,WAI0501,84.58
2023-06-15,15,WHU0331,2252.01
2023-06-15,20,WPR0661,227.75
2023-06-15,26,WTK2201,96.82
2023-06-15,30,APS0111,106.67
2023-06-15,35,ARG1101,128.31
2023-06-15,7,BLN0331,54.30
2023-06-15,6,BRK0331,65.26
2023-06-15,24,BWK1101,2.71
2023-06-15,38,CUL0331,188.24
2023-06-15,26,CUL0661,105.43
2023-06-15,46,CYD2201,50.10
2023-06-15,46,DVK0111,79.70
2023-06-15,26,EDG0331,115.76
2023-06-15,29,HAM2201,128.46
2023-06-15,40,KBY0661,141.99
2023-06-15,31,KIN0331,138.48
2023-06-15,10,KOE1101,79.43
2023-06-15,22,LFD1101,85.77
2023-06-15,17,LTN0331,3785.95
2023-06-15,38,MNG0331,221.58
2023-06-15,32,NAP2201,141.06
2023-06-15,4,OTA0221,72.10
2023-06-15,1,PAO1101,137.42
2023-06-15,38,PEN0331,221.94
2023-06-15,19,UHT0331,1567.17
2023-06-15,43,WAI0501,100.51
