TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-12,19,AVI2201,148.31
2023-06-12,43,BPE2201,74.50
2023-06-12,48,BPE2201,25.18
2023-06-12,16,CLH0111,839.51
2023-06-12,4,CUL0661,5.23
2023-06-12,11,CUL0661,19.19
2023-06-12,3,EDN0331,5.10
2023-06-12,10,HUI0331,10.31
2023-06-12,14,HWA1102,12.50
2023-06-12,46,HWA1102,22.96
2023-06-12,42,KAW2201,15.96
2023-06-12,17,KUM0661,501.78
2023-06-12,11,LTN0331,29.66
2023-06-12,14,MNI0111,12.71
2023-06-12,32,MPE1101,124.37
2023-06-12,21,MTR0331,41.80
2023-06-12,45,MTR0331,26.07
2023-06-12,12,OHC2201,12.32
2023-06-12,32,OPK0331,108.89
2023-06-12,45,OTA2201,28.64
2023-06-12,17,ROT0111,545.14
2023-06-12,27,SWN2201,139.22
2023-06-12,38,TGA0111,12.26
2023-06-12,17,UHT0331,492.42
2023-06-12,3,WIL0331,5.40
2023-06-12,1,ALB0331,7.78
2023-06-12,31,BEN2202,0.20
2023-06-12,18,BWK1101,323.17
2023-06-12,19,CPK0111,166.70
2023-06-12,17,DOB0331,515.56
2023-06-12,38,GFD0331,10.61
2023-06-12,36,GLN0332,267.37
2023-06-12,8,HAM0551,5.20
2023-06-12,48,HOR0331,21.55
2023-06-12,40,HTI1101,16.36
2023-06-12,8,ISL0331,4.88
2023-06-12,46,KAW0111,23.30
2023-06-12,27,KIN0112,129.72
2023-06-12,39,KPU0661,5.44
2023-06-12,10,KWA0111,9.92
2023-06-12,31,MDN2201,44.93
2023-06-12,23,MLG0111,93.66
2023-06-12,28,MTM0331,91.47
2023-06-12,3,MTO0331,6.13
2023-06-12,44,NAP2202,53.92
2023-06-12,31,OPK0331,39.83
2023-06-12,43,ROX2201,19.22
2023-06-12,39,SBK0661,1.80
2023-06-12,44,SDN0331,19.52
2023-06-12,43,STK2201,22.83
2023-06-12,42,STU0111,8.88
2023-06-12,44,SVL0331,59.53
2023-06-12,5,TKA0331,4.16
2023-06-12,21,WDV0111,40.32
2023-06-12,7,WHU0331,3.15
2023-06-12,44,WRK0331,54.10
2023-06-12,24,WTU0331,206.35
2023-06-12,41,ARA2201,28.61
2023-06-12,16,ARI1101,914.29
2023-06-12,27,BAL0331,0.20
2023-06-12,19,BEN2202,149.13
2023-06-12,38,BLN0331,6.32
2023-06-12,6,BPE0331,4.94
2023-06-12,40,CPK0111,14.19
2023-06-12,46,EDG0331,23.55
2023-06-12,19,HAM0111,187.69
2023-06-12,20,HLY0331,107.83
2023-06-12,13,HOR0331,11.39
2023-06-12,8,HWA0331,4.94
2023-06-12,38,ISL2201,5.66
2023-06-12,6,KBY0661,4.93
2023-06-12,27,KIN0113,130.04
2023-06-12,11,KUM0661,18.29
2023-06-12,2,KWA0111,6.34
2023-06-12,38,MTI2201,11.79
2023-06-12,34,NAP2202,19.96
2023-06-12,8,ORO1101,5.17
2023-06-12,32,OTA2201,118.56
2023-06-12,39,OTI0111,1.77
2023-06-12,24,ROS0221,219.47
2023-06-12,5,ROT0331,4.54
2023-06-12,37,ROT0331,62.58
2023-06-12,31,STK0331,0.23
2023-06-12,39,TIM0111,1.63
2023-06-12,27,TMI0331,136.96
2023-06-12,31,TMU0111,43.08
2023-06-12,44,TWI2201,19.37
2023-06-12,19,TWZ0331,148.54
2023-06-12,38,WKO0331,13.04
2023-06-12,45,WPA2201,26.59
2023-06-12,8,WTK0111,4.59
2023-06-12,21,WTK0331,31.08
2023-06-12,18,WTU0331,414.84
2023-06-12,28,BEN2202,0.20
2023-06-12,1,CBG0111,7.52
2023-06-12,15,CUL0661,55.67
2023-06-12,28,DVK0111,85.82
2023-06-12,9,GLN0332,6.14
2023-06-12,46,ISL2201,21.32
2023-06-12,4,MAT1101,5.06
2023-06-12,4,MST0331,5.09
2023-06-12,13,MTM0331,12.26
2023-06-12,21,MTN0331,40.81
2023-06-12,7,NAP2201,2.93
2023-06-12,40,PPI2201,15.74
2023-06-12,27,RDF0331,132.82
2023-06-12,27,ROS1101,140.78
2023-06-12,45,ROX2201,19.30
2023-06-12,48,ROX2201,19.33
2023-06-12,26,TIM0111,0.25
2023-06-12,31,TKR0331,37.02
2023-06-12,2,TKU2201,6.47
2023-06-12,22,TRK2201,9.71
2023-06-12,8,TWI2201,4.47
2023-06-12,4,WHU0331,5.45
2023-06-12,16,WIR0331,1021.58
2023-06-12,36,WIR0331,273.39
2023-06-12,19,WKM2201,178.36
2023-06-12,47,WPR0661,21.39
2023-06-12,10,ARI1101,10.02
2023-06-12,41,BLN0331,16.04
2023-06-12,19,BPE0331,170.04
2023-06-12,13,CBG0111,12.45
2023-06-12,46,CPK0331,22.01
2023-06-12,33,EDG0331,73.91
2023-06-12,37,GLN0332,65.12
2023-06-12,24,GOR0331,6.57
2023-06-12,6,HTI1101,5.21
2023-06-12,7,HWA1101,2.95
2023-06-12,20,HWB0331,80.34
2023-06-12,6,LFD1102,4.93
2023-06-12,21,MCH0111,35.81
2023-06-12,28,MGM0331,86.01
2023-06-12,32,MHO0331,103.82
2023-06-12,43,OTA0221,86.81
2023-06-12,13,OTA2201,12.75
2023-06-12,24,PNI0331,189.21
2023-06-12,12,SBK0661,13.57
