TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-03,43,BAL0331,0.98
2023-06-03,5,BRB0331,0.01
2023-06-03,22,BRY0661,0.02
2023-06-03,14,HAY0111,0.01
2023-06-03,21,HWA1102,0.09
2023-06-03,36,HWA1102,111.67
2023-06-03,47,HWB2201,0.99
2023-06-03,31,JRD1101,0.02
2023-06-03,11,KAW2201,0.01
2023-06-03,16,KAW2201,0.26
2023-06-03,46,KPU0661,1.38
2023-06-03,30,LFD1101,0.02
2023-06-03,6,MLG0111,0.01
2023-06-03,31,OWH0111,0.02
2023-06-03,11,ROX1101,0.01
2023-06-03,42,ROX1101,0.96
2023-06-03,8,WDV1101,0.01
2023-06-03,40,WPR0331,1.07
2023-06-03,43,WPR0661,1.08
2023-06-03,22,WRK0331,0.02
2023-06-03,20,BPE2201,0.11
2023-06-03,41,COL0111,1.01
2023-06-03,45,COL0661,1.00
2023-06-03,21,CUL0661,0.09
2023-06-03,11,DVK0111,0.01
2023-06-03,4,GOR0331,0.01
2023-06-03,9,HAY0331,0.01
2023-06-03,28,JRD1101,0.02
2023-06-03,35,MTR0331,4.05
2023-06-03,7,NMA0331,0.01
2023-06-03,18,OHA2201,0.10
2023-06-03,2,OPK0331,0.01
2023-06-03,44,PPI2201,2.80
2023-06-03,18,WDV1101,0.12
2023-06-03,24,WWD1102,0.05
2023-06-03,43,ARA2201,2.02
2023-06-03,3,BPT1101,0.01
2023-06-03,6,CYD0331,0.01
2023-06-03,7,DOB0661,0.01
2023-06-03,10,HWA0332,0.01
2023-06-03,33,NAP2202,0.28
2023-06-03,41,OKI2201,2.45
2023-06-03,23,PEN0251,0.12
2023-06-03,27,PEN0331,0.11
2023-06-03,28,TMU1101,0.02
2023-06-03,44,WAI0111,2.87
2023-06-03,22,BRB0331,0.02
2023-06-03,13,GLN0331,0.01
2023-06-03,46,GLN0331,1.36
2023-06-03,38,HAM0331,27.03
2023-06-03,45,KOE1101,1.62
2023-06-03,10,MAT1101,0.01
2023-06-03,18,MNG1101,0.14
2023-06-03,28,WDV1101,0.02
2023-06-03,17,WGN0331,0.20
2023-06-03,47,WGN0331,1.81
2023-06-03,45,WRD0331,1.57
2023-06-03,5,ARI1101,0.01
2023-06-03,44,BOB1101,3.03
2023-06-03,9,CLH0111,0.01
2023-06-03,12,INV0331,0.01
2023-06-03,40,MHO0331,3.49
2023-06-03,33,MNG0331,0.31
2023-06-03,27,OTA0221,0.11
2023-06-03,20,OTA2201,0.12
2023-06-03,29,PEN1101,0.02
2023-06-03,23,PRM0331,0.11
2023-06-03,4,WIR0331,0.01
2023-06-03,32,WTK0111,0.05
2023-06-03,31,WTK2201,0.02
2023-06-03,34,BPT1101,0.09
2023-06-03,27,BRY0661,0.10
2023-06-03,5,DVK0111,0.01
2023-06-03,11,GYT0331,0.01
2023-06-03,40,HAY0331,3.34
2023-06-03,15,HLY0331,0.10
2023-06-03,14,KIK0111,0.01
2023-06-03,3,KIK2201,0.01
2023-06-03,7,KIN0331,0.01
2023-06-03,18,KPA1101,0.12
2023-06-03,39,KPA1101,7.54
2023-06-03,47,MDN1101,2.01
2023-06-03,29,ORO1101,0.01
2023-06-03,21,RDF0331,0.10
2023-06-03,30,TIM0111,0.01
2023-06-03,17,TMN0551,0.22
2023-06-03,20,TMU0111,0.12
2023-06-03,6,TMU1101,0.01
2023-06-03,24,CPK0111,0.05
2023-06-03,45,HAY0111,1.39
2023-06-03,36,KBY0661,3.96
2023-06-03,8,KWA0111,0.01
2023-06-03,15,NMA0331,0.08
2023-06-03,39,STK2201,1.14
2023-06-03,16,TKB2201,0.23
2023-06-03,45,TKB2201,1.00
2023-06-03,19,TKR0331,0.12
2023-06-03,4,WDV0111,0.01
2023-06-03,46,ALB0331,1.37
2023-06-03,3,ARI1102,0.01
2023-06-03,22,BOB1101,0.02
2023-06-03,39,CML0331,0.97
2023-06-03,47,CML0331,0.99
2023-06-03,33,GLN0331,0.31
2023-06-03,33,HAM0111,0.30
2023-06-03,42,ISL0661,1.07
2023-06-03,26,KMO0331,0.12
2023-06-03,12,MNG0331,0.01
2023-06-03,40,OAM0331,1.04
2023-06-03,28,PPI2201,0.02
2023-06-03,37,RFN1101,1.15
2023-06-03,20,STK2201,0.11
2023-06-03,46,TMK0331,1.02
2023-06-03,8,BEN2202,0.01
2023-06-03,10,BRB0331,0.01
2023-06-03,35,CYD2201,0.68
2023-06-03,21,GOR0331,0.09
2023-06-03,23,HAM0331,0.12
2023-06-03,38,HOR0661,1.06
2023-06-03,24,HTI1101,0.05
2023-06-03,46,HWB1101,0.98
2023-06-03,5,MAT1101,0.01
2023-06-03,13,OHA2201,0.01
2023-06-03,18,PEN0331,0.14
2023-06-03,37,SFD0331,135.96
2023-06-03,36,WPR0661,4.01
2023-06-03,4,WPW0331,0.01
2023-06-03,18,WTK0111,0.10
2023-06-03,12,ARI1101,0.01
2023-06-03,21,ASY0111,0.09
2023-06-03,35,COL0111,0.72
2023-06-03,45,DOB0331,1.09
2023-06-03,29,HAY0111,0.02
2023-06-03,34,KBY0662,0.09
2023-06-03,24,LTN0331,0.05
2023-06-03,23,MTI2201,0.11
2023-06-03,43,MTI2201,2.04
2023-06-03,24,MTR0331,0.05
2023-06-03,7,ROT1101,0.01
2023-06-03,17,SBK0661,0.20
2023-06-03,42,TGA0331,2.31
2023-06-03,7,THI2201,0.01
2023-06-03,39,TMU0111,7.75
2023-06-03,45,TNG0111,1.42
2023-06-03,48,WIL0331,1.12
2023-06-03,11,WPW0331,0.01
2023-06-03,23,WTK2201,0.09
2023-06-03,26,WWD1102,0.12
2023-06-03,18,CST0331,0.13
2023-06-03,44,EDG0331,2.83
2023-06-03,45,HAM2201,1.52
2023-06-03,41,HAY1101,2.38
2023-06-03,47,HAY2201,1.75
2023-06-03,26,HOR0331,0.10
2023-06-03,20,INV2201,0.10
2023-06-03,24,KIK2201,0.05
2023-06-03,17,MTM0331,0.22
2023-06-03,28,NMA0331,0.01
2023-06-03,30,NMA0331,0.01
2023-06-03,28,OTA0221,0.02
2023-06-03,28,ROT0111,0.02
2023-06-03,43,TMU0111,2.15
2023-06-03,34,TUI1101,0.30
2023-06-03,38,TUI1101,27.21
2023-06-03,35,WDV0111,4.02
2023-06-03,14,WRD0331,0.01
2023-06-03,34,ATI2201,0.30
2023-06-03,22,HTI0331,0.02
2023-06-03,32,HUI0331,0.07
2023-06-03,38,ISL0661,1.08
2023-06-03,45,KAW0111,1.43
2023-06-03,39,RDF0331,7.55
2023-06-03,33,ROT0111,0.29
2023-06-03,36,ROX2201,3.57
2023-06-03,27,TNG0551,0.10
2023-06-03,1,UHT0331,0.01
2023-06-03,33,WDV1101,0.29
2023-06-03,41,WPA2201,2.46
2023-06-03,40,WRD0331,3.74
2023-06-03,39,ARI1101,7.04
2023-06-03,23,COL0661,0.09
2023-06-03,19,DOB0331,0.11
2023-06-03,5,EDN0331,0.01
2023-06-03,20,HAM0111,0.12
2023-06-03,36,HOR0661,3.93
2023-06-03,40,HWA1102,3.50
2023-06-03,43,KIN0112,2.03
