TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-14,1,ABY0111,5.62
2023-06-14,13,BPE0331,93.67
2023-06-14,20,BRB0331,86.63
2023-06-14,44,CST0331,94.60
2023-06-14,40,FHL0331,137.85
2023-06-14,41,HAM0111,142.03
2023-06-14,11,HTI0331,56.90
2023-06-14,2,HWA1101,70.14
2023-06-14,15,HWB2201,974.45
2023-06-14,16,HWB2201,1873.86
2023-06-14,27,ISL2201,152.44
2023-06-14,48,MTI2201,73.19
2023-06-14,43,MTM0331,101.74
2023-06-14,22,MTR0331,30.40
2023-06-14,25,ONG0331,177.05
2023-06-14,18,OTA0221,446.08
2023-06-14,45,OWH0111,84.23
2023-06-14,2,ROT0111,74.11
2023-06-14,6,ROT0111,76.89
2023-06-14,7,ROT1101,71.65
2023-06-14,45,SFD2201,80.13
2023-06-14,19,TGA0331,265.54
2023-06-14,19,WKM2201,257.47
2023-06-14,19,WRK2201,255.00
2023-06-14,19,WTK0331,216.84
2023-06-14,14,WTU0331,236.70
2023-06-14,45,ASB0661,51.96
2023-06-14,40,ASY0111,120.48
2023-06-14,34,ATU1101,65.00
2023-06-14,48,BEN2201,50.24
2023-06-14,45,BLN0331,56.99
2023-06-14,41,BOB1101,144.37
2023-06-14,7,BRY0661,52.53
2023-06-14,11,BRY0661,52.83
2023-06-14,24,GLN0331,103.28
2023-06-14,17,HAM2201,3522.80
2023-06-14,20,HTI1101,81.38
2023-06-14,32,INV2202,95.57
2023-06-14,25,KAW0112,173.95
2023-06-14,27,KIK2201,159.01
2023-06-14,31,KPA1101,236.56
2023-06-14,24,KPO1101,99.52
2023-06-14,38,MCH0111,256.30
2023-06-14,42,MDN1101,197.28
2023-06-14,13,MKE1101,96.88
2023-06-14,20,MTM0331,81.44
2023-06-14,1,MTO0331,74.98
2023-06-14,26,MTO0331,168.45
2023-06-14,6,PAO1101,80.62
2023-06-14,32,PRM0331,127.74
2023-06-14,36,ROT0331,1310.96
2023-06-14,45,ROX2201,48.17
2023-06-14,32,RPO2201,135.28
2023-06-14,42,SFD0331,168.17
2023-06-14,20,SFD2201,76.15
2023-06-14,44,STK0661,56.72
2023-06-14,14,SVL0331,257.80
2023-06-14,40,SWN2201,150.16
2023-06-14,14,THI2201,234.61
2023-06-14,39,THI2201,175.27
2023-06-14,6,TKU0331,75.94
2023-06-14,22,TMU1101,31.94
2023-06-14,33,TWH0331,149.01
2023-06-14,28,WRD0331,142.87
2023-06-14,36,WRK0331,1257.49
2023-06-14,36,WTK0331,1090.97
2023-06-14,5,WWD1103,62.81
2023-06-14,41,BEN2201,103.29
2023-06-14,47,BEN2201,50.97
2023-06-14,12,BOB1101,56.61
2023-06-14,33,CML0331,105.35
2023-06-14,8,CYD0331,48.48
2023-06-14,11,DVK0111,53.98
2023-06-14,18,HOR0661,393.32
2023-06-14,24,HTI0331,98.83
2023-06-14,26,INV0331,83.31
2023-06-14,29,INV0331,42.36
2023-06-14,21,JRD1101,57.35
2023-06-14,20,KOE1101,88.45
2023-06-14,10,KUM0661,52.19
2023-06-14,44,MNG0331,104.94
2023-06-14,30,MNI0111,231.30
2023-06-14,39,MPE1101,201.25
2023-06-14,43,OHA2201,50.50
2023-06-14,4,WRD0331,75.35
2023-06-14,11,WTK2201,49.82
2023-06-14,5,ALB0331,69.76
2023-06-14,12,BEN2201,46.85
2023-06-14,40,BEN2201,106.79
2023-06-14,18,BOB1101,442.99
2023-06-14,35,BRK0331,156.95
2023-06-14,4,BRY0661,52.72
2023-06-14,22,FHL0331,29.48
2023-06-14,19,KBY0662,243.54
2023-06-14,4,KIK2201,53.37
2023-06-14,35,KPA1101,155.55
2023-06-14,48,MTR0331,73.19
2023-06-14,31,OHA2201,28.99
2023-06-14,36,OHB2201,1094.90
2023-06-14,32,SFD0331,135.52
2023-06-14,39,STK0331,162.63
2023-06-14,18,STK0661,409.73
2023-06-14,15,SVL0331,1308.88
2023-06-14,18,TMI0331,446.81
2023-06-14,32,TMU1101,146.85
2023-06-14,13,TRK0111,95.94
2023-06-14,16,WIR0331,2473.78
2023-06-14,35,WKO0331,180.16
2023-06-14,9,WPA2201,66.16
2023-06-14,40,WPR0331,116.83
2023-06-14,48,WPW0331,71.30
2023-06-14,45,APS0111,53.16
2023-06-14,34,ARI1101,74.22
2023-06-14,29,BAL0331,43.19
2023-06-14,19,BPD1101,226.85
2023-06-14,16,HEN0331,2467.67
2023-06-14,14,HEP0331,258.30
2023-06-14,12,JRD1101,54.63
2023-06-14,25,KAW2201,174.55
2023-06-14,20,KMO0331,80.79
2023-06-14,3,KPA1101,66.49
2023-06-14,13,MTR0331,95.55
2023-06-14,38,MTR0331,262.56
2023-06-14,5,ONG0331,67.16
2023-06-14,39,RFN1101,160.90
2023-06-14,47,ROT1101,78.44
2023-06-14,5,STK0661,53.48
2023-06-14,8,SWN0251,73.09
2023-06-14,43,TIM0111,52.32
2023-06-14,31,WHI2201,243.49
2023-06-14,12,WRK0331,53.03
2023-06-14,26,BWK1101,82.38
2023-06-14,10,CML0331,48.79
2023-06-14,2,CUL0661,53.19
2023-06-14,3,EDN0331,48.28
2023-06-14,42,GLN0332,189.68
2023-06-14,45,HAY2201,74.88
2023-06-14,19,HWA0332,247.30
2023-06-14,47,HWA0332,78.64
2023-06-14,1,INV2201,48.31
2023-06-14,18,INV2202,342.84
2023-06-14,40,ISL2201,115.40
2023-06-14,44,JRD1101,93.35
2023-06-14,35,KAW2201,164.10
2023-06-14,35,MDN2201,181.98
2023-06-14,1,MLG0111,61.99
2023-06-14,11,OKN0111,56.17
2023-06-14,34,PEN0221,82.33
2023-06-14,33,RDF0331,142.59
2023-06-14,12,ROT0111,54.19
2023-06-14,30,SBK0661,32.28
2023-06-14,37,TMU1101,508.78
2023-06-14,27,TWZ0331,142.91
2023-06-14,47,TWZ0331,50.65
2023-06-14,15,WWD1102,1109.63
2023-06-14,31,ABY0111,5.62
2023-06-14,25,BPD1101,131.60
2023-06-14,28,CUL0661,87.85
2023-06-14,21,GLN0331,65.13
2023-06-14,26,GOR0331,83.65
2023-06-14,38,HAM2201,276.33
2023-06-14,2,HKK0661,52.59
2023-06-14,28,KAW2201,132.91
2023-06-14,45,KIN0111,82.03
2023-06-14,42,KIN0112,177.49
2023-06-14,36,LTN0331,1228.58
2023-06-14,24,MNG0331,103.78
2023-06-14,27,MPE1101,248.72
2023-06-14,40,NAP2201,137.07
2023-06-14,3,NSY0331,49.46
2023-06-14,3,OKN0111,66.86
2023-06-14,18,TUI1101,392.09
2023-06-14,22,BEN2201,25.86
2023-06-14,36,BEN2201,1099.39
2023-06-14,36,BEN2202,1099.39
2023-06-14,15,BRY0661,1095.63
2023-06-14,4,CBG0111,73.70
2023-06-14,1,CML0331,48.85
2023-06-14,35,DOB0331,157.17
2023-06-14,14,EDN0331,197.29
2023-06-14,31,HLY2201,255.21
2023-06-14,23,HTI1101,53.11
2023-06-14,24,HWA0331,96.15
2023-06-14,27,HWA1101,223.17
2023-06-14,48,HWB1101,48.56
2023-06-14,15,INV0331,973.15
2023-06-14,31,INV0331,28.00
2023-06-14,7,KAW1101,70.70
2023-06-14,34,KIK2201,64.08
2023-06-14,40,KIN0112,140.27
2023-06-14,24,LTN2201,91.72
2023-06-14,20,MDN1101,86.65
2023-06-14,32,MKE1101,132.67
2023-06-14,17,MPE1101,3819.06
2023-06-14,4,NAP2202,70.11
2023-06-14,34,OTI0111,61.90
2023-06-14,36,PPI2201,1258.97
2023-06-14,13,RDF0331,94.68
2023-06-14,37,SFD2201,459.27
2023-06-14,34,STK2201,64.74
2023-06-14,39,SWN2201,191.09
2023-06-14,4,TGA0111,71.67
2023-06-14,12,TRK0111,53.98
2023-06-14,14,WEL0331,283.07
2023-06-14,25,WGN0331,173.12
2023-06-14,7,WHI2201,71.26
