TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-08,48,HOB1101,4.97
2023-06-08,25,INV0331,6.64
2023-06-08,18,JRD1101,27.48
2023-06-08,45,LTN0331,5.99
2023-06-08,31,MDN2201,1.60
2023-06-08,7,MHO0331,0.40
2023-06-08,6,MLG0111,0.22
2023-06-08,20,MNG1101,91.35
2023-06-08,38,MTN0331,149.94
2023-06-08,8,NAP2201,0.48
2023-06-08,12,OTI0111,1.10
2023-06-08,3,PEN0221,1.35
2023-06-08,46,ROT1101,5.65
2023-06-08,30,STK0331,0.23
2023-06-08,17,STK2201,116.97
2023-06-08,25,STK2201,4.25
2023-06-08,7,TMK0331,0.38
2023-06-08,35,TMU1101,45.44
2023-06-08,38,TRK2201,158.38
2023-06-08,6,TWZ0331,0.21
2023-06-08,16,WAI0111,91.71
2023-06-08,23,WRK0331,10.17
2023-06-08,36,WTK0331,914.64
2023-06-08,18,WVY1101,26.48
2023-06-08,38,APS0111,144.07
2023-06-08,12,BEN2202,1.00
2023-06-08,23,BPE0551,9.84
2023-06-08,15,BPE2201,70.01
2023-06-08,31,CBG0111,1.53
2023-06-08,48,COL0111,1.01
2023-06-08,44,EDG0331,18.39
2023-06-08,22,HLY2201,25.78
2023-06-08,29,INV0331,5.71
2023-06-08,40,INV0331,115.31
2023-06-08,39,KAW1101,133.19
2023-06-08,3,KAW2201,1.28
2023-06-08,38,KBY0662,146.36
2023-06-08,39,KIN0113,134.60
2023-06-08,18,LFD1101,29.68
2023-06-08,23,LTN0331,9.81
2023-06-08,16,MCH0111,90.64
2023-06-08,48,MKE1101,4.52
2023-06-08,19,MLG0111,39.97
2023-06-08,32,PAO1101,2.31
2023-06-08,15,STK0661,76.76
2023-06-08,13,WAI0111,1.59
2023-06-08,18,WHU0331,32.27
2023-06-08,11,WIR0331,4.40
2023-06-08,6,WWD1103,0.22
2023-06-08,20,WWD1103,81.39
2023-06-08,24,COL0111,4.64
2023-06-08,34,DOB0331,12.86
2023-06-08,3,EDG0331,1.29
2023-06-08,26,HAM0111,10.18
2023-06-08,21,HEP0331,68.57
2023-06-08,20,HKK0661,86.73
2023-06-08,32,HLY0331,2.22
2023-06-08,37,KAW0112,199.69
2023-06-08,41,KAW0112,95.24
2023-06-08,7,KPO1101,0.41
2023-06-08,13,MCH0111,1.55
2023-06-08,40,OHC2201,117.94
2023-06-08,13,OKI2201,1.55
2023-06-08,13,OKN0111,1.56
2023-06-08,43,ROS0221,25.84
2023-06-08,35,ROS1101,47.20
2023-06-08,32,STK0331,0.68
2023-06-08,30,TAK0331,3.69
2023-06-08,39,TGA0111,138.43
2023-06-08,34,THI2201,13.13
2023-06-08,23,TMU0111,10.76
2023-06-08,29,TWI2201,5.75
2023-06-08,33,WPR0661,6.07
2023-06-08,30,WTK0331,0.20
2023-06-08,3,WTU0331,1.29
2023-06-08,32,WWD1103,1.93
2023-06-08,13,BOB0331,1.68
2023-06-08,16,BPE2201,84.74
2023-06-08,44,BRK0331,17.65
2023-06-08,11,CLH0111,1.08
2023-06-08,37,CLH0111,188.08
2023-06-08,9,CYD0331,0.72
2023-06-08,34,HEN0331,14.38
2023-06-08,25,ISL2201,4.01
2023-06-08,37,KAW2201,201.26
2023-06-08,29,KIK0111,3.22
2023-06-08,33,KUM0661,5.98
2023-06-08,32,MKE1101,2.06
2023-06-08,22,MTI2201,24.30
2023-06-08,40,MTO0331,169.94
2023-06-08,20,NMA0331,0.00
2023-06-08,21,OAM0331,60.14
2023-06-08,18,OHB2201,25.72
2023-06-08,1,OKI2201,4.46
2023-06-08,3,PEN0331,1.35
2023-06-08,41,RDF0331,99.51
2023-06-08,27,ROT0331,13.24
2023-06-08,29,ROX1101,2.41
2023-06-08,11,TAK0331,4.35
2023-06-08,36,TAK0331,1150.46
2023-06-08,26,TGA0331,9.83
2023-06-08,42,TKB2201,26.89
2023-06-08,4,WPR0661,0.66
2023-06-08,37,WTK0331,176.15
2023-06-08,10,APS0111,1.08
2023-06-08,20,APS0111,85.66
2023-06-08,12,AVI2201,1.00
2023-06-08,4,BOB1101,0.71
2023-06-08,36,BRY0661,1010.14
2023-06-08,33,CLH0111,5.79
2023-06-08,11,COL0111,1.07
2023-06-08,20,GFD0331,81.54
2023-06-08,13,HAM2201,1.65
2023-06-08,18,HIN0331,31.08
2023-06-08,14,HLY0331,3.53
2023-06-08,18,HTI0331,30.15
2023-06-08,13,KAW0111,1.56
2023-06-08,17,KIK0111,114.90
2023-06-08,40,KIK2201,134.64
2023-06-08,1,KIN0331,4.61
2023-06-08,40,MAT1101,139.80
2023-06-08,19,MLG0331,40.01
2023-06-08,16,ORO1102,91.42
2023-06-08,36,RDF0331,1093.58
2023-06-08,36,RDF2201,1084.21
2023-06-08,41,RFN1102,84.26
2023-06-08,38,TIM0111,139.29
2023-06-08,6,TKA0331,0.21
2023-06-08,32,WDV0111,2.00
2023-06-08,27,WIR0331,14.32
2023-06-08,16,WPR0331,87.58
2023-06-08,40,WPR0661,129.82
2023-06-08,44,ALB0331,20.03
2023-06-08,26,ARA2201,9.63
2023-06-08,32,ARI1101,2.12
2023-06-08,40,BAL0331,118.03
2023-06-08,13,BDE0111,1.33
2023-06-08,47,BDE0111,3.02
2023-06-08,29,BEN2201,2.90
2023-06-08,32,BPE2201,1.98
2023-06-08,29,EDN0331,2.94
2023-06-08,21,HIN0331,66.51
2023-06-08,2,HKK0661,1.10
2023-06-08,47,HUI0331,3.78
2023-06-08,15,HWA0332,68.87
2023-06-08,48,INV2201,1.00
2023-06-08,6,KAI0111,0.23
2023-06-08,9,KBY0662,0.78
2023-06-08,40,KPA1101,139.18
2023-06-08,5,LFD1102,0.02
2023-06-08,12,MDN2201,1.67
2023-06-08,28,MLG0111,8.91
2023-06-08,19,MNI0111,39.32
