TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-09,1,APS0111,1.03
2023-06-09,28,APS0111,5.62
2023-06-09,22,BRK0331,135.23
2023-06-09,47,FHL0331,6.43
2023-06-09,44,HWB1101,10.26
2023-06-09,40,KAW0111,20.17
2023-06-09,42,KBY0661,5.22
2023-06-09,5,KOE1101,0.65
2023-06-09,31,OHA2201,0.20
2023-06-09,40,TIM0111,11.10
2023-06-09,26,TWH0331,9.09
2023-06-09,10,WEL0331,2.28
2023-06-09,12,WIL0331,1.85
2023-06-09,42,WIR0331,12.23
2023-06-09,35,WRK0331,18.11
2023-06-09,7,BPE0551,0.27
2023-06-09,15,BPE0551,88.05
2023-06-09,33,BRY0661,0.39
2023-06-09,29,CYD2201,2.73
2023-06-09,41,HAY2201,12.27
2023-06-09,22,HOB1101,145.83
2023-06-09,22,HWB0331,121.30
2023-06-09,16,INV2201,1868.27
2023-06-09,9,KOE1101,1.27
2023-06-09,36,MTI2201,127.48
2023-06-09,41,OKN0111,13.30
2023-06-09,32,WAI0111,1.23
2023-06-09,32,WAI0501,1.24
2023-06-09,19,WDV0111,127.64
2023-06-09,16,WKM2201,585.37
2023-06-09,8,BPT1101,0.79
2023-06-09,27,BWK1101,5.74
2023-06-09,25,CLH0111,40.89
2023-06-09,16,HUI0331,561.73
2023-06-09,14,MNG1101,10.95
2023-06-09,38,NAP2201,65.79
2023-06-09,34,OHA2201,3.39
2023-06-09,40,OHA2201,10.64
2023-06-09,5,ROS1101,0.64
2023-06-09,22,RPO2201,133.06
2023-06-09,44,TUI1101,0.24
2023-06-09,25,WPR0661,40.54
2023-06-09,3,WTU0331,3.52
2023-06-09,27,COL0111,6.48
2023-06-09,32,GLN0331,1.31
2023-06-09,14,GLN0332,10.90
2023-06-09,11,GOR0331,0.99
2023-06-09,2,HAM0551,5.01
2023-06-09,34,HTI0331,4.45
2023-06-09,25,HWA0331,42.65
2023-06-09,34,HWA1101,4.18
2023-06-09,43,HWA1102,28.31
2023-06-09,47,INV2202,4.56
2023-06-09,28,MAN2201,4.82
2023-06-09,5,MAT1101,0.60
