TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-13,10,CBG0111,63.81
2023-06-13,20,HOB1101,43.21
2023-06-13,15,HOR0661,644.38
2023-06-13,37,HTI0331,165.69
2023-06-13,11,HUI0331,106.86
2023-06-13,28,HWA1102,83.55
2023-06-13,31,HWB0331,0.20
2023-06-13,7,HWB1101,19.30
2023-06-13,3,KBY0661,21.33
2023-06-13,5,KIN0113,60.96
2023-06-13,45,MHO0331,30.90
2023-06-13,32,MLG0331,30.64
2023-06-13,29,MNG1101,91.39
2023-06-13,48,MNI0111,22.49
2023-06-13,14,MPE1101,92.65
2023-06-13,3,MST0331,51.87
2023-06-13,1,NPK0331,46.32
2023-06-13,34,ORO1101,15.90
2023-06-13,25,OWH0111,62.46
2023-06-13,36,PEN0251,2055.96
2023-06-13,38,ROS0221,185.72
2023-06-13,23,SDN0331,51.96
2023-06-13,43,STK0661,83.80
2023-06-13,25,TKU2201,60.21
2023-06-13,27,TNG0551,84.75
2023-06-13,34,TRK0111,20.66
2023-06-13,43,UHT0331,96.39
2023-06-13,23,WTK2201,53.40
2023-06-13,17,WVY1101,208.29
2023-06-13,27,ALB1101,95.79
2023-06-13,13,BPD1101,37.08
2023-06-13,19,CPK0111,67.58
2023-06-13,16,DOB0331,1619.05
2023-06-13,40,FHL0331,33.10
2023-06-13,37,HAM0111,167.76
2023-06-13,1,HWA1102,45.25
2023-06-13,26,ISL0331,0.22
2023-06-13,45,KIN0331,31.33
2023-06-13,33,KWA0111,33.04
2023-06-13,14,MNG0331,88.46
2023-06-13,46,MTO0331,26.00
2023-06-13,36,OAM0331,1685.55
2023-06-13,34,ORO1102,15.98
2023-06-13,1,OTA2201,48.96
2023-06-13,23,PAO1101,96.02
2023-06-13,46,PEN1101,24.77
2023-06-13,10,TKR0331,58.30
2023-06-13,14,TKR0331,78.76
2023-06-13,6,TMI0331,31.89
2023-06-13,11,TRK0111,106.40
2023-06-13,42,TRK0111,58.15
2023-06-13,23,TWI2201,51.89
2023-06-13,29,WAI0111,85.25
2023-06-13,30,WAI0501,86.52
2023-06-13,14,WIL0331,78.55
2023-06-13,15,WKM2201,673.84
2023-06-13,21,WKO0331,77.94
2023-06-13,25,ASY0111,4.03
2023-06-13,14,CML0331,66.52
2023-06-13,22,DOB0661,52.85
2023-06-13,10,HKK0661,21.13
2023-06-13,23,HKK0661,60.14
2023-06-13,34,HWB1101,13.46
2023-06-13,30,ISL0331,0.21
2023-06-13,45,ISL2201,28.37
2023-06-13,16,KBY0661,1551.23
2023-06-13,8,KIK0111,21.25
2023-06-13,35,KIK0111,433.49
2023-06-13,35,KIK2201,436.31
2023-06-13,41,KIN0111,22.41
2023-06-13,30,MHO0331,81.12
2023-06-13,4,MLG0111,62.96
2023-06-13,13,MNG0331,49.51
2023-06-13,20,MTN0331,39.85
2023-06-13,47,NMA0331,19.29
2023-06-13,31,OTA0221,8.46
2023-06-13,9,PEN0221,38.42
2023-06-13,5,PRM0331,57.67
2023-06-13,10,SVL0331,64.87
2023-06-13,15,SWN2201,726.08
2023-06-13,1,TMK0331,20.43
2023-06-13,25,TMU1101,64.07
2023-06-13,46,TNG0111,22.39
2023-06-13,19,TRK2201,70.75
2023-06-13,8,TWC2201,28.91
2023-06-13,7,TWH0331,30.66
2023-06-13,15,WPR0661,636.01
2023-06-13,7,WTK2201,19.94
2023-06-13,30,WTK2201,0.20
2023-06-13,35,ARA2201,452.38
2023-06-13,11,ATI2201,105.20
2023-06-13,26,BOB0331,11.17
2023-06-13,24,BPD1101,13.47
2023-06-13,33,BRY0661,1.02
2023-06-13,40,CLH0111,28.60
2023-06-13,39,GLN0331,77.07
2023-06-13,14,HAY1101,78.34
2023-06-13,15,HEN0331,734.46
2023-06-13,32,HEN2201,36.35
2023-06-13,26,HOB1101,11.27
2023-06-13,15,HUI0331,640.40
2023-06-13,48,KAW0112,22.03
2023-06-13,14,KUM0661,76.43
2023-06-13,26,KUM0661,0.23
2023-06-13,36,MLG0331,1784.67
2023-06-13,46,RFN1101,22.20
2023-06-13,41,ROT0111,22.88
2023-06-13,33,ROX2201,0.91
2023-06-13,12,SVL0331,29.47
2023-06-13,20,TIM0111,35.67
2023-06-13,46,WAI0111,23.18
2023-06-13,37,WAI0501,165.45
2023-06-13,20,WDV0111,39.60
2023-06-13,42,WPR0331,41.90
2023-06-13,45,WWD1103,28.91
2023-06-13,5,ARI1101,59.27
2023-06-13,6,BEN2202,20.00
2023-06-13,36,BOB1101,2039.51
2023-06-13,7,GYM0661,21.47
2023-06-13,6,HWB0331,19.33
2023-06-13,1,INV2202,19.17
2023-06-13,32,KIN0331,33.95
2023-06-13,40,LFD1101,33.81
2023-06-13,4,MAN2201,18.03
2023-06-13,13,MGM0331,45.36
2023-06-13,20,OTI0111,38.21
2023-06-13,39,TKA0111,5.58
2023-06-13,41,WKM2201,22.22
2023-06-13,1,WPA2201,46.15
2023-06-13,41,WPR0661,19.99
2023-06-13,42,WRD0331,62.14
2023-06-13,26,WTK0331,0.20
2023-06-13,13,ASB0661,37.80
2023-06-13,29,BPT1101,0.20
2023-06-13,37,COL0661,144.35
2023-06-13,40,CUL0661,29.46
2023-06-13,37,HOB1101,172.93
2023-06-13,18,HUI0331,127.51
2023-06-13,23,KPU0661,98.27
2023-06-13,1,KWA0111,42.56
2023-06-13,37,MST0331,153.84
2023-06-13,33,MTN0331,34.85
2023-06-13,43,OHA2201,72.83
2023-06-13,24,PPI2201,71.06
2023-06-13,28,STK0331,0.23
2023-06-13,42,STK0331,43.96
2023-06-13,48,TKU2201,21.98
2023-06-13,14,TWH0331,86.33
2023-06-13,13,WHI0111,45.98
2023-06-13,16,WPR0661,1537.81
2023-06-13,45,WRK0331,30.86
2023-06-13,37,ARI1101,157.37
2023-06-13,26,BLN0331,0.23
2023-06-13,30,BPD1101,0.21
2023-06-13,40,BRK0331,31.98
2023-06-13,46,EDG0331,23.04
2023-06-13,7,HOR0661,21.33
2023-06-13,31,JRD1101,7.81
2023-06-13,48,KAI0111,22.68
2023-06-13,6,KAW1101,30.71
2023-06-13,8,KAW1101,29.65
2023-06-13,42,KAW1101,56.88
2023-06-13,31,MTR0331,7.74
2023-06-13,4,OHA2201,19.93
2023-06-13,14,ORO1101,77.68
2023-06-13,29,ORO1101,0.23
2023-06-13,3,ROS1101,56.93
2023-06-13,5,SBK0661,21.79
2023-06-13,10,SFD0331,61.36
2023-06-13,47,THI2201,22.30
2023-06-13,26,TKA0331,5.60
2023-06-13,18,WPR0661,126.12
2023-06-13,20,WPR0661,37.65
2023-06-13,36,WPR0661,1781.66
2023-06-13,5,WVY1101,59.89
2023-06-13,21,ALB0331,77.81
2023-06-13,32,ARA2201,33.42
2023-06-13,4,BOB0331,70.88
2023-06-13,22,BPT1101,46.53
2023-06-13,35,BRB0331,510.58
2023-06-13,18,BRY0661,124.98
2023-06-13,18,COL0111,125.72
2023-06-13,31,CPK0331,7.21
2023-06-13,22,CUL0661,50.92
2023-06-13,24,GOR0331,12.80
2023-06-13,48,GYT0331,21.73
2023-06-13,38,HAY1101,155.42
2023-06-13,43,HEN0331,115.42
2023-06-13,39,HWB2201,57.91
2023-06-13,32,KAW0112,33.55
2023-06-13,11,KAW1101,104.40
2023-06-13,39,KIN0111,72.28
2023-06-13,1,KIN0331,46.38
2023-06-13,37,LTN0331,151.18
2023-06-13,9,MNG1101,38.25
2023-06-13,12,MTI2201,27.49
2023-06-13,38,OKI2201,166.49
2023-06-13,43,OPK0331,103.68
2023-06-13,15,PEN0221,733.95
2023-06-13,24,PEN0221,77.63
2023-06-13,37,PRM0331,147.42
2023-06-13,6,ROX1101,19.20
2023-06-13,9,SDN0331,19.31
2023-06-13,32,TNG0111,32.22
2023-06-13,42,WIR0331,62.31
2023-06-13,20,WKO0331,43.89
2023-06-13,37,WTK2201,132.45
2023-06-13,42,WVY1101,53.58
2023-06-13,22,WWD1103,59.37
2023-06-13,11,ARI1102,107.92
2023-06-13,28,ASY0111,0.22
2023-06-13,44,BEN2201,89.58
2023-06-13,46,BRK0331,22.47
2023-06-13,35,BWK1101,368.26
2023-06-13,38,DOB0661,163.78
2023-06-13,16,HEN0331,1766.61
2023-06-13,6,KAW0111,30.68
2023-06-13,30,KAW0112,85.03
2023-06-13,6,KIK0111,21.32
2023-06-13,45,KIN0113,31.39
2023-06-13,11,KUM0661,20.35
2023-06-13,12,MGM0331,27.39
2023-06-13,43,MKE1101,104.77
2023-06-13,17,MNI0111,200.65
2023-06-13,40,OHA2201,26.27
2023-06-13,21,OTI0111,67.87
2023-06-13,41,OTI0111,20.08
2023-06-13,11,PEN0221,112.73
2023-06-13,48,ROT0331,22.53
2023-06-13,42,SBK0661,43.44
2023-06-13,23,STK0661,61.23
2023-06-13,27,STK2201,0.23
2023-06-13,2,STU0111,20.82
2023-06-13,28,SWN2201,91.15
2023-06-13,21,TGA0331,73.18
2023-06-13,24,TIM0111,13.76
2023-06-13,18,TKA0111,5.58
2023-06-13,41,TRK0111,22.70
2023-06-13,33,TUI1101,32.62
2023-06-13,47,UHT0331,21.49
2023-06-13,1,WAI0111,47.11
2023-06-13,28,WRK0331,84.32
2023-06-13,38,WRK2201,166.89
2023-06-13,14,WVY0111,82.98
2023-06-13,43,WVY0111,97.96
2023-06-13,6,APS0111,20.85
2023-06-13,3,BRB0331,57.16
2023-06-13,13,DOB0331,41.30
2023-06-13,4,GLN0332,71.08
2023-06-13,4,HAY0111,62.80
2023-06-13,26,HAY0331,9.48
2023-06-13,19,HEN0331,75.96
2023-06-13,40,HWA1101,31.63
2023-06-13,31,INV0331,0.19
2023-06-13,36,INV2201,1563.08
2023-06-13,17,KOE1101,248.31
2023-06-13,41,MDN1101,24.81
2023-06-13,45,MLG0331,29.39
2023-06-13,12,MNG0331,29.31
2023-06-13,17,OPK0331,205.65
2023-06-13,2,ORO1101,21.50
2023-06-13,31,OTA2201,8.44
2023-06-13,34,PPI2201,20.07
2023-06-13,20,RDF0331,40.36
2023-06-13,29,ROX2201,0.19
2023-06-13,15,TGA0331,695.05
2023-06-13,45,TKU0331,30.58
2023-06-13,33,TMI0331,38.28
2023-06-13,6,TWC2201,29.96
2023-06-13,33,WDV0111,34.52
2023-06-13,6,WHI2201,30.74
2023-06-13,18,WIL0331,126.87
2023-06-13,16,ARG1101,1609.35
2023-06-13,46,ASB0661,20.83
2023-06-13,2,AVI2201,19.93
2023-06-13,9,BDE0111,19.30
2023-06-13,32,BLN0331,0.24
2023-06-13,28,BOB1101,90.81
2023-06-13,47,BWK1101,19.08
2023-06-13,26,COL0111,0.22
2023-06-13,39,COL0661,63.79
2023-06-13,34,CUL0331,15.43
2023-06-13,3,DOB0331,21.60
2023-06-13,14,GLN0332,87.89
2023-06-13,47,GYT0331,21.89
2023-06-13,3,HAM0111,55.85
2023-06-13,2,HEP0331,54.14
2023-06-13,25,HLY2201,64.55
2023-06-13,39,ISL2201,64.68
2023-06-13,27,KAW1101,87.30
2023-06-13,21,KIN0331,72.01
2023-06-13,8,MAT1101,29.59
2023-06-13,15,MKE1101,618.28
2023-06-13,41,MST0331,21.53
2023-06-13,22,MTM0331,63.54
2023-06-13,25,MTR0331,59.86
2023-06-13,21,OHA2201,60.06
2023-06-13,23,OKI2201,88.93
2023-06-13,33,OTI0111,1.05
2023-06-13,31,PAO1101,8.41
2023-06-13,21,PEN0331,77.45
2023-06-13,5,ROS0221,64.20
2023-06-13,44,SDN0331,87.33
2023-06-13,20,STK0661,39.89
2023-06-13,11,STU0111,20.00
2023-06-13,19,TMN0551,70.07
2023-06-13,11,TUI1101,91.59
2023-06-13,16,WIR0331,1775.95
2023-06-13,35,WRD0331,499.70
2023-06-13,44,ABY0111,5.62
2023-06-13,20,APS0111,38.12
2023-06-13,29,APS0111,0.22
2023-06-13,48,ARI1101,21.46
2023-06-13,37,BPE2201,150.97
2023-06-13,40,BPE2201,31.73
2023-06-13,1,CML0331,19.48
2023-06-13,15,CUL0661,647.71
2023-06-13,15,CYD2201,549.62
2023-06-13,21,DVK0111,72.20
2023-06-13,42,GYM0661,44.02
2023-06-13,1,HAY0331,42.40
2023-06-13,6,HLY0331,31.75
2023-06-13,38,HTI0331,175.76
2023-06-13,29,HTI1101,88.29
2023-06-13,41,HWA1102,21.28
2023-06-13,42,HWB0331,37.27
2023-06-13,36,LTN2201,1805.98
2023-06-13,10,MHO0331,61.43
2023-06-13,37,MHO0331,152.12
2023-06-13,28,MLG0331,77.72
2023-06-13,11,MNG0331,112.69
2023-06-13,26,MNI0111,10.24
2023-06-13,25,MST0331,57.61
2023-06-13,27,OHB2201,0.20
2023-06-13,10,PEN0221,64.71
2023-06-13,7,PEN0331,31.27
2023-06-13,12,PEN1101,29.30
2023-06-13,30,RFN1102,0.23
2023-06-13,28,ROS0221,92.39
2023-06-13,13,ROT1101,47.00
2023-06-13,26,SFD0331,10.23
2023-06-13,5,STU0111,20.64
2023-06-13,40,SWN0251,35.78
2023-06-13,19,THI2201,69.37
2023-06-13,1,TIM0111,20.49
2023-06-13,40,TKU0331,32.15
2023-06-13,28,TNG0111,81.48
2023-06-13,2,WRK0331,50.03
2023-06-13,10,WVY0111,60.63
2023-06-13,11,ALB0331,112.99
2023-06-13,23,BPE0551,86.03
2023-06-13,42,BPT1101,38.70
2023-06-13,14,CYD0331,66.05
2023-06-13,31,FHL0331,7.40
2023-06-13,30,HLY0331,90.94
2023-06-13,42,INV0331,37.15
2023-06-13,8,ISL0331,21.07
2023-06-13,6,KAI0111,22.14
2023-06-13,2,LTN0331,47.50
2023-06-13,16,MHO0331,1570.81
2023-06-13,43,ONG0331,106.73
2023-06-13,36,ORO1101,1847.37
2023-06-13,21,RDF0331,72.06
2023-06-13,31,RFN1102,0.23
2023-06-13,14,ROX1101,65.20
2023-06-13,19,ROX2201,57.67
2023-06-13,27,TGA0111,89.08
2023-06-13,47,TGA0111,22.81
2023-06-13,48,TIM0111,20.59
2023-06-13,41,TKA0111,5.58
2023-06-13,33,TNG0111,34.68
2023-06-13,29,WHI2201,84.72
2023-06-13,26,WHU0331,11.24
2023-06-13,18,WKM2201,132.92
2023-06-13,9,WKO0331,38.99
2023-06-13,42,WTU0331,56.97
2023-06-13,37,WWD1103,145.80
2023-06-13,5,BEN2202,20.00
2023-06-13,48,COL0661,20.81
2023-06-13,46,CPK0331,21.73
2023-06-13,38,GLN0331,181.51
2023-06-13,39,HAM0111,75.53
2023-06-13,46,HAM2201,24.03
2023-06-13,6,HAY1101,29.11
2023-06-13,25,HAY2201,55.34
2023-06-13,5,HKK0661,21.09
2023-06-13,41,ISL0331,19.89
2023-06-13,14,KOE1101,95.52
2023-06-13,45,LFD1101,31.36
2023-06-13,21,LFD1102,72.02
2023-06-13,9,MKE1101,36.69
2023-06-13,26,MTR0331,10.29
2023-06-13,12,NPK0331,28.68
2023-06-13,29,NSY0331,0.20
2023-06-13,41,OAM0331,19.11
2023-06-13,28,PEN0221,91.80
2023-06-13,34,RPO2201,19.61
2023-06-13,20,STK0331,39.79
2023-06-13,26,TMU1101,10.97
2023-06-13,4,TUI1101,29.33
2023-06-13,26,TWC2201,9.81
2023-06-13,17,TWZ0331,182.10
2023-06-13,40,WIL0331,30.80
2023-06-13,25,WTU0331,61.27
2023-06-13,7,WWD1103,28.37
2023-06-13,5,ABY0111,19.62
2023-06-13,28,BLN0331,0.23
2023-06-13,24,BPE0331,68.76
2023-06-13,35,CYD0331,367.23
