TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-04,5,CUL0661,0.01
2023-06-04,29,GOR0331,0.94
2023-06-04,48,GYT0331,2.76
2023-06-04,45,LFD1102,7.65
2023-06-04,45,LTN2201,7.36
2023-06-04,6,MCH0111,0.01
2023-06-04,34,MCH0111,2.57
2023-06-04,13,MTI2201,0.02
2023-06-04,15,MTN0331,0.02
2023-06-04,4,SFD0331,0.22
2023-06-04,4,TMK0331,0.01
2023-06-04,35,WIL0331,54.20
2023-06-04,28,WVY1101,0.44
2023-06-04,23,AVI2201,0.04
2023-06-04,32,BPE0331,8.37
2023-06-04,28,CUL0661,0.45
2023-06-04,34,HEN0331,9.21
2023-06-04,47,KIK2201,1.09
2023-06-04,22,MLG0111,0.10
2023-06-04,27,MNG0331,0.46
2023-06-04,39,MST0331,4.59
2023-06-04,16,NPK0331,0.10
2023-06-04,24,NPK0331,0.02
2023-06-04,33,TRK0111,7.54
2023-06-04,4,WEL0331,0.25
2023-06-04,24,WEL0331,0.03
2023-06-04,12,WPR0661,0.01
2023-06-04,41,WPR0661,1.08
2023-06-04,10,WTU0331,0.01
2023-06-04,48,ATU1101,0.92
2023-06-04,40,CST0331,3.11
2023-06-04,25,INV0331,0.02
2023-06-04,40,KAW0111,3.34
2023-06-04,20,MHO0331,0.12
2023-06-04,43,MTN0331,8.59
2023-06-04,7,OHC2201,0.01
2023-06-04,11,OKI2201,0.01
2023-06-04,30,ONG0331,4.56
2023-06-04,18,OPK0331,0.11
2023-06-04,22,RDF2201,0.11
2023-06-04,48,STK0661,0.93
2023-06-04,39,TMK0331,1.03
2023-06-04,35,WAI0111,63.54
2023-06-04,5,WKO0331,0.12
2023-06-04,43,WKO0331,9.95
2023-06-04,48,WTK0331,0.82
2023-06-04,6,ARI1101,0.02
2023-06-04,43,HOR0331,1.06
2023-06-04,21,KAW0112,0.12
2023-06-04,35,KAW0112,60.94
2023-06-04,7,KBY0661,0.01
2023-06-04,34,KIK2201,2.55
2023-06-04,39,LFD1102,4.92
2023-06-04,37,MTR0331,8.20
2023-06-04,26,PEN1101,0.03
2023-06-04,6,ROT0111,0.02
2023-06-04,24,ROT0331,0.02
2023-06-04,35,TKU2201,58.84
2023-06-04,7,WTU0331,0.02
2023-06-04,32,BDE0111,0.98
2023-06-04,47,CUL0331,1.08
2023-06-04,4,HEN0331,0.24
2023-06-04,17,HIN0331,0.04
2023-06-04,21,KIN0331,0.12
2023-06-04,17,MDN1101,0.04
2023-06-04,47,MNI0111,5.01
2023-06-04,31,MPE1101,7.57
2023-06-04,45,ROT1101,7.74
2023-06-04,32,THI2201,9.10
2023-06-04,6,TIM0111,0.01
2023-06-04,21,TKR0331,0.11
2023-06-04,19,TWC2201,0.12
2023-06-04,8,TWZ0331,0.01
2023-06-04,36,WWD1102,9.11
2023-06-04,42,ALB1101,9.33
2023-06-04,24,BEN2201,0.02
2023-06-04,42,BEN2201,1.01
2023-06-04,14,CBG0111,0.02
2023-06-04,2,CYD2201,0.01
2023-06-04,46,EDG0331,4.17
2023-06-04,42,MLG0331,7.86
2023-06-04,37,MST0331,7.97
2023-06-04,35,MTO0331,73.84
2023-06-04,11,PPI2201,0.01
2023-06-04,1,SVL0331,0.71
2023-06-04,2,WTU0331,0.28
2023-06-04,4,ARG1101,0.01
2023-06-04,25,ARI1101,0.02
2023-06-04,22,COL0111,0.09
2023-06-04,41,DOB0331,1.11
2023-06-04,41,GOR0331,0.97
2023-06-04,46,HAY2201,3.90
2023-06-04,41,KBY0662,1.06
2023-06-04,18,KUM0661,0.10
2023-06-04,14,MAT1101,0.02
2023-06-04,43,MNI0111,8.89
2023-06-04,33,PEN0251,8.03
2023-06-04,23,ROS1101,0.04
2023-06-04,31,TKR0331,5.84
2023-06-04,13,TRK0111,0.02
2023-06-04,22,TWZ0331,0.09
2023-06-04,25,WAI0501,0.02
2023-06-04,32,WPA2201,9.15
2023-06-04,20,WPW0331,0.13
2023-06-04,24,WTK0331,0.02
2023-06-04,33,BPE0331,6.87
2023-06-04,42,COL0111,1.02
2023-06-04,25,COL0661,0.02
2023-06-04,16,GYM0661,0.10
2023-06-04,6,HAM0551,0.02
2023-06-04,41,HAM0551,7.94
2023-06-04,32,KIN0111,9.12
2023-06-04,33,NAP2201,7.35
2023-06-04,17,OHK2201,0.04
2023-06-04,45,OTA0221,8.34
2023-06-04,37,PRM0331,7.72
2023-06-04,17,RFN1101,0.03
2023-06-04,26,TGA0111,0.03
2023-06-04,41,TWH0331,7.94
2023-06-04,12,WTU0331,0.02
2023-06-04,10,ARI1102,0.01
2023-06-04,37,BRB0331,9.77
2023-06-04,17,GFD0331,0.03
2023-06-04,48,HUI0331,2.79
2023-06-04,2,KIN0111,0.28
2023-06-04,25,MNG1101,0.02
2023-06-04,2,MTM0331,0.29
2023-06-04,4,NAP2201,0.22
2023-06-04,5,PRM0331,0.11
2023-06-04,29,SVL0331,1.82
2023-06-04,46,WTK2201,1.00
2023-06-04,45,ARI1101,7.33
2023-06-04,24,COL0661,0.02
2023-06-04,18,HWA1102,0.11
2023-06-04,29,KIN0112,1.71
2023-06-04,31,ORO1101,1.14
2023-06-04,47,TRK0111,5.12
2023-06-04,23,WIR0331,0.04
2023-06-04,42,WPA2201,8.54
2023-06-04,19,BEN2202,0.10
2023-06-04,48,BEN2202,0.82
2023-06-04,46,CPK0111,3.95
2023-06-04,2,ISL2201,0.01
2023-06-04,4,MLG0111,0.21
2023-06-04,25,NAP2201,0.02
2023-06-04,22,NAP2202,0.10
2023-06-04,37,ROX1101,0.96
2023-06-04,9,TWI2201,0.01
2023-06-04,43,WHU0331,9.84
2023-06-04,13,ALB1101,0.02
2023-06-04,3,BEN2202,0.01
2023-06-04,18,BOB0331,0.13
2023-06-04,38,BPD1101,1.03
2023-06-04,5,BRY0661,0.01
2023-06-04,48,COL0661,0.81
2023-06-04,42,FHL0331,8.41
2023-06-04,39,GLN0331,5.36
2023-06-04,26,HAY2201,0.02
2023-06-04,39,MLG0331,4.43
2023-06-04,10,NMA0331,0.01
2023-06-04,12,OHA2201,0.01
2023-06-04,24,OWH0111,0.02
2023-06-04,4,SDN0331,0.01
2023-06-04,48,SFD0331,2.78
2023-06-04,37,SWN2201,9.45
2023-06-04,13,TGA0111,0.02
2023-06-04,14,TMI0331,0.02
2023-06-04,14,BLN0331,0.01
2023-06-04,35,BRK0331,56.36
2023-06-04,34,BWK1101,2.18
2023-06-04,29,CPK0111,1.44
