TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-07,10,ASY0111,0.54
2023-06-07,18,BDE0111,19.49
2023-06-07,3,BEN2202,0.05
2023-06-07,7,COL0111,0.01
2023-06-07,42,COL0111,47.91
2023-06-07,39,CPK0331,12.07
2023-06-07,25,CYD0331,1.02
2023-06-07,40,CYD2201,76.64
2023-06-07,6,HTI0331,0.02
2023-06-07,35,HWA1101,4.12
2023-06-07,2,ISL0331,0.36
2023-06-07,48,KPA1101,4.31
2023-06-07,9,MGM0331,0.24
2023-06-07,18,MHO0331,27.81
2023-06-07,37,MNI0111,89.87
2023-06-07,37,NAP2201,93.86
2023-06-07,5,OAM0331,0.01
2023-06-07,33,OWH0111,2.70
2023-06-07,42,PNI0331,57.12
2023-06-07,32,ROS0221,0.43
2023-06-07,27,TNG0111,0.46
2023-06-07,8,TWZ0331,0.01
2023-06-07,25,WHU0331,1.61
2023-06-07,22,WPR0661,7.93
2023-06-07,41,WWD1103,167.49
2023-06-07,47,ALB1101,1.22
2023-06-07,15,ARI1101,15.63
2023-06-07,13,ASB0661,1.71
2023-06-07,42,AVI2201,43.62
2023-06-07,48,CST0331,4.37
2023-06-07,12,HAM0111,0.82
2023-06-07,38,HAY0111,81.96
2023-06-07,13,HAY2201,2.18
2023-06-07,30,HAY2201,0.17
2023-06-07,17,HIN0331,46.50
2023-06-07,5,HLY0331,0.02
2023-06-07,18,INV2202,48.50
2023-06-07,17,JRD1101,43.02
2023-06-07,48,JRD1101,4.36
2023-06-07,22,KAI0111,8.38
2023-06-07,32,KIN0112,0.41
2023-06-07,45,KWA0111,3.02
2023-06-07,18,LFD1102,30.19
2023-06-07,15,LTN0331,15.03
2023-06-07,6,MGM0331,0.02
2023-06-07,16,MNG0331,34.48
2023-06-07,28,MST0331,0.41
2023-06-07,7,OHC2201,0.01
2023-06-07,31,ROT0331,0.34
2023-06-07,21,ROX2201,11.53
2023-06-07,6,TGA0331,0.02
2023-06-07,11,TGA0331,1.02
2023-06-07,2,THI2201,0.38
2023-06-07,48,TKA0111,0.97
2023-06-07,43,TKR0331,83.25
2023-06-07,48,TMK0331,1.04
2023-06-07,46,TNG0111,1.44
2023-06-07,13,TRK0111,2.37
2023-06-07,45,UHT0331,3.02
2023-06-07,44,WPA2201,9.83
2023-06-07,44,WWD1102,9.01
2023-06-07,4,ALB0331,0.02
2023-06-07,5,ATI2201,0.02
2023-06-07,40,GOR0331,40.82
2023-06-07,39,GYM0661,12.74
2023-06-07,44,GYM0661,3.21
2023-06-07,11,HAY0331,0.93
2023-06-07,7,HTI1101,0.01
2023-06-07,34,HTI1101,3.19
2023-06-07,1,INV2201,1.40
2023-06-07,31,ISL2201,0.11
2023-06-07,38,KIK0111,84.74
2023-06-07,12,KIN0112,0.78
2023-06-07,31,MLG0111,0.31
2023-06-07,30,MNG1101,0.20
