TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-01,45,BPD1101,0.26
2023-06-01,15,BPT1101,12.69
2023-06-01,42,BRB0331,2.19
2023-06-01,41,BRY0661,2.95
2023-06-01,47,FKN0331,0.02
2023-06-01,14,HAY0331,4.98
2023-06-01,25,HAY1101,0.29
2023-06-01,21,INV0331,2.95
2023-06-01,1,KOE1101,1.85
2023-06-01,25,KPO1101,0.34
2023-06-01,35,LFD1102,2.50
2023-06-01,38,MAT1101,3.61
2023-06-01,20,MDN2201,7.33
2023-06-01,1,MHO0331,1.58
2023-06-01,7,MNG0331,0.09
2023-06-01,48,MPE1101,0.02
2023-06-01,41,MTM0331,3.36
2023-06-01,20,OTA2202,0.00
2023-06-01,1,PRM0331,1.55
2023-06-01,7,RFN1102,0.01
2023-06-01,37,RFN1102,3.45
2023-06-01,39,ROS1101,3.78
2023-06-01,25,SWN0251,0.34
2023-06-01,6,TKU2201,0.01
2023-06-01,17,TNG0111,134.15
2023-06-01,14,TUI1101,5.35
2023-06-01,32,TUI1101,0.02
2023-06-01,40,WEL0331,3.91
2023-06-01,38,WIR0331,3.92
2023-06-01,11,WKM2201,5.03
2023-06-01,23,WRK0331,0.03
2023-06-01,21,WTK0331,3.00
2023-06-01,24,ALB1101,0.59
2023-06-01,47,ATI2201,0.02
2023-06-01,2,BOB0331,0.02
2023-06-01,20,BPE2201,6.15
2023-06-01,29,BWK1101,0.02
2023-06-01,36,CBG0111,4.49
2023-06-01,5,CML0331,0.01
2023-06-01,29,COL0111,0.02
2023-06-01,2,CPK0331,0.02
2023-06-01,9,FHL0331,2.03
2023-06-01,43,HAM0551,1.68
2023-06-01,37,HAM2201,3.86
2023-06-01,44,HAY0111,0.95
2023-06-01,29,HAY1101,0.02
2023-06-01,37,HLY2201,3.90
2023-06-01,2,HWA0331,0.02
2023-06-01,24,INV2201,0.44
2023-06-01,27,INV2202,0.02
2023-06-01,42,KAW2201,1.99
2023-06-01,23,MLG0111,0.02
2023-06-01,8,MTN0331,0.11
2023-06-01,23,NSY0331,0.02
2023-06-01,2,PAK0331,0.02
2023-06-01,5,PRM0331,0.01
2023-06-01,23,ROS0221,0.03
2023-06-01,39,TAK0331,3.71
2023-06-01,26,TNG0551,0.02
2023-06-01,42,TRK2201,2.01
