TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-05,48,APS0111,0.01
2023-06-05,28,AVI2201,0.98
2023-06-05,1,BLN0331,0.80
2023-06-05,23,CST0331,0.11
2023-06-05,30,KPU0661,1.67
2023-06-05,37,MAT1101,23.34
2023-06-05,17,OTA2202,0.00
2023-06-05,9,TWH0331,0.01
2023-06-05,16,WWD1103,0.01
2023-06-05,8,ASY0111,0.01
2023-06-05,1,BRB0331,1.82
2023-06-05,26,CUL0331,0.66
2023-06-05,42,HOR0661,1.06
2023-06-05,11,HTI1101,0.01
2023-06-05,12,ISL0331,0.01
2023-06-05,29,ISL0661,1.07
2023-06-05,29,KUM0661,1.10
2023-06-05,35,OAM0331,2.47
2023-06-05,3,ONG0331,1.36
2023-06-05,35,ROT0111,3.14
2023-06-05,17,ROT0331,0.01
2023-06-05,48,SFD2201,0.01
2023-06-05,38,TKB2201,3.77
2023-06-05,24,TMU1101,0.13
2023-06-05,37,WTK0111,5.63
2023-06-05,34,ARI1101,1.83
2023-06-05,39,BPE0551,2.65
2023-06-05,33,KBY0662,1.07
2023-06-05,36,LFD1102,28.12
2023-06-05,3,MNG1101,1.41
2023-06-05,39,NSY0331,0.99
2023-06-05,21,PAO1101,0.12
2023-06-05,31,PAO1101,1.48
2023-06-05,37,PEN0331,26.10
2023-06-05,3,TWC2201,1.31
2023-06-05,9,WRD0331,0.01
2023-06-05,30,WTK2201,1.00
2023-06-05,9,AVI2201,0.01
2023-06-05,15,BOB0331,0.02
2023-06-05,35,OTI0111,2.60
2023-06-05,10,RFN1101,0.01
2023-06-05,48,RFN1102,0.01
2023-06-05,22,SFD2201,0.11
2023-06-05,25,STK0661,0.22
2023-06-05,26,SWN2201,0.80
2023-06-05,28,TMI0331,1.31
2023-06-05,18,WTK0331,0.02
2023-06-05,3,ABY0111,0.01
2023-06-05,39,HTI0331,3.02
2023-06-05,37,ISL0661,6.19
2023-06-05,35,KAW0111,3.06
2023-06-05,26,KPO1101,0.78
2023-06-05,20,PAO1101,0.08
2023-06-05,42,TGA0111,1.25
2023-06-05,14,TMU0111,0.01
2023-06-05,36,HAY0111,24.87
2023-06-05,26,HEP0331,0.81
2023-06-05,6,KMO0331,0.01
2023-06-05,36,MDN1101,32.27
2023-06-05,46,MTO0331,0.10
2023-06-05,24,OKI2201,0.12
2023-06-05,14,RDF2201,0.01
2023-06-05,1,TGA0331,1.75
2023-06-05,25,TKB2201,0.20
2023-06-05,33,WAI0111,1.06
2023-06-05,45,ALB0331,0.93
2023-06-05,33,ARI1101,0.99
2023-06-05,38,CPK0111,4.97
2023-06-05,10,CPK0331,0.01
2023-06-05,41,GYM0661,1.14
2023-06-05,20,HOB1101,0.08
2023-06-05,39,INV2201,0.98
2023-06-05,47,KIN0112,0.03
2023-06-05,41,KPO1101,1.80
2023-06-05,14,ONG0331,0.01
2023-06-05,16,PAK0331,0.01
2023-06-05,29,PEN0251,1.89
2023-06-05,22,ROT0111,0.12
2023-06-05,9,TKB2201,0.01
2023-06-05,45,TKB2201,0.73
2023-06-05,19,WTU0331,0.02
2023-06-05,23,ARI1102,0.12
2023-06-05,24,BOB0331,0.13
2023-06-05,16,CLH0111,0.01
2023-06-05,26,KAW2201,0.75
2023-06-05,17,KOE1101,0.02
2023-06-05,28,MLG0331,1.08
2023-06-05,24,NAP2202,0.12
2023-06-05,45,OTA2202,0.00
2023-06-05,43,OTI0111,1.08
2023-06-05,33,RFN1101,1.12
2023-06-05,22,SBK0661,0.11
2023-06-05,7,WHI0111,0.01
2023-06-05,20,BOB1101,0.08
2023-06-05,41,BPE0331,1.58
2023-06-05,29,BRB0331,1.94
2023-06-05,44,FKN0331,0.75
2023-06-05,12,HAY1101,0.01
2023-06-05,37,HOB1101,26.27
2023-06-05,6,HWB2201,0.01
2023-06-05,27,JRD1101,1.11
