TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-11,25,ASB0661,1.04
2023-06-11,28,BWK1101,0.19
2023-06-11,31,COL0111,0.20
2023-06-11,19,EDN0331,8.59
2023-06-11,11,HOR0331,1.04
2023-06-11,13,HWB1101,0.99
2023-06-11,24,KIK2201,1.11
2023-06-11,11,MTN0331,16.15
2023-06-11,13,PEN0251,8.53
2023-06-11,42,PEN0251,9.77
2023-06-11,8,RFN1101,1.07
2023-06-11,33,SDN0331,0.80
2023-06-11,9,STK0661,1.08
2023-06-11,41,SWN2201,12.53
2023-06-11,3,TKR0331,10.50
2023-06-11,5,TMI0331,9.62
2023-06-11,10,ABY0111,1.00
2023-06-11,1,BRK0331,10.73
2023-06-11,40,HAY2201,11.35
2023-06-11,26,KAI0111,1.11
2023-06-11,31,KBY0661,0.21
2023-06-11,46,KIN0331,1.45
2023-06-11,15,MDN1101,6.61
2023-06-11,12,MKE1101,14.80
2023-06-11,22,MNG0331,5.84
2023-06-11,30,MNG0331,3.68
2023-06-11,47,MPE1101,1.21
2023-06-11,14,PAO1101,6.44
2023-06-11,22,PNI0331,5.13
2023-06-11,44,SBK0661,2.06
2023-06-11,35,STK2201,5.32
2023-06-11,31,TKB2201,0.20
2023-06-11,23,TMU1101,7.56
2023-06-11,47,TWH0331,1.15
2023-06-11,20,WTK2201,6.02
2023-06-11,14,ALB1101,6.53
2023-06-11,11,ARI1101,15.02
2023-06-11,48,BPD1101,1.03
2023-06-11,3,BPE2201,10.64
2023-06-11,40,GLN0331,13.31
2023-06-11,31,HOR0331,0.21
2023-06-11,48,HOR0661,1.04
2023-06-11,38,ISL2201,7.41
2023-06-11,14,LFD1101,5.97
2023-06-11,43,MDN1101,9.61
2023-06-11,21,PEN0251,9.75
2023-06-11,1,RFN1101,1.10
2023-06-11,8,WIL0331,9.09
2023-06-11,15,ARI1101,5.71
2023-06-11,2,BPD1101,1.03
2023-06-11,41,BPT1101,3.75
2023-06-11,8,KAW2201,9.24
2023-06-11,48,KPO1101,1.10
2023-06-11,38,ROX1101,6.53
2023-06-11,14,SDN0331,0.98
2023-06-11,5,TWZ0331,1.00
2023-06-11,37,HWA0331,14.69
2023-06-11,32,INV0331,0.46
2023-06-11,28,KAW1101,5.20
2023-06-11,5,KPO1101,9.79
2023-06-11,7,KUM0661,1.04
2023-06-11,7,KWA0111,9.12
2023-06-11,47,MTO0331,1.25
2023-06-11,39,TWI2201,4.34
2023-06-11,30,WTK0331,0.20
2023-06-11,48,BAL0331,0.99
2023-06-11,11,BOB1101,17.12
2023-06-11,24,BRB0331,8.85
2023-06-11,17,GYM0661,1.15
2023-06-11,18,HAY1101,63.11
2023-06-11,19,ISL0661,9.56
2023-06-11,5,MGM0331,9.47
2023-06-11,3,MLG0331,10.47
2023-06-11,36,OTA2201,15.42
2023-06-11,10,PEN0221,9.94
2023-06-11,46,PEN0331,1.61
2023-06-11,33,ROS1101,1.47
2023-06-11,6,SVL0331,10.00
2023-06-11,33,TKR0331,1.29
2023-06-11,4,TRK2201,10.39
2023-06-11,2,WEL0331,13.43
2023-06-11,45,BPE0551,2.18
2023-06-11,19,HAM2201,29.94
2023-06-11,22,KBY0662,1.07
2023-06-11,40,LTN2201,11.68
2023-06-11,11,MHO0331,16.31
2023-06-11,12,ONG0331,14.96
2023-06-11,24,PEN0331,8.69
2023-06-11,48,PNI0331,1.04
2023-06-11,11,ROX1101,0.99
2023-06-11,42,WDV0111,8.48
2023-06-11,43,WPA2201,8.58
2023-06-11,38,WPR0331,7.50
2023-06-11,28,BOB0331,5.63
2023-06-11,41,HAY2201,10.73
2023-06-11,48,HAY2201,1.04
2023-06-11,32,HEP0331,1.63
2023-06-11,1,HTI1101,11.16
2023-06-11,40,KIN0331,11.89
2023-06-11,36,KUM0661,11.89
2023-06-11,13,SWN0251,8.53
2023-06-11,18,TGA0111,68.73
2023-06-11,45,WHI2201,2.29
2023-06-11,44,WVY1101,3.88
2023-06-11,20,BOB0331,15.20
2023-06-11,17,CLH0111,1.03
2023-06-11,2,CYD2201,1.00
2023-06-11,40,HAM0331,12.96
2023-06-11,33,HEN2201,1.47
2023-06-11,41,HEP0331,12.73
2023-06-11,18,HWB1101,5.47
2023-06-11,5,KUM0661,1.05
2023-06-11,4,LTN0331,10.33
2023-06-11,30,MDN1101,3.73
2023-06-11,2,MNG1101,12.71
2023-06-11,44,MNI0111,3.94
2023-06-11,47,OTI0111,1.05
2023-06-11,4,RDF2201,10.39
2023-06-11,10,ROT0331,9.40
2023-06-11,15,STK0331,1.13
2023-06-11,16,TGA0331,5.85
2023-06-11,7,TNG0111,9.30
2023-06-11,35,WKO0331,6.30
2023-06-11,43,WRD0331,9.40
2023-06-11,15,ALB0331,6.52
2023-06-11,11,GLN0331,17.08
2023-06-11,28,HIN0331,5.46
2023-06-11,47,OHA2201,1.00
2023-06-11,3,ROT0111,10.75
2023-06-11,46,ROT0331,1.50
2023-06-11,2,ROX1101,0.99
2023-06-11,45,ROX1101,0.98
2023-06-11,12,WEL0331,16.41
2023-06-11,20,WPR0661,6.58
2023-06-11,36,WTK0111,10.35
2023-06-11,6,ATU1101,1.08
2023-06-11,18,BOB1101,72.48
2023-06-11,6,CML0331,1.00
2023-06-11,23,CYD0331,0.97
2023-06-11,28,DVK0111,5.13
2023-06-11,15,EDN0331,0.97
2023-06-11,41,FKN0331,3.75
2023-06-11,35,HOB1101,6.22
2023-06-11,25,HWB2201,0.97
2023-06-11,5,LTN0331,9.42
2023-06-11,20,MDN1101,15.68
2023-06-11,8,NAP2202,9.20
2023-06-11,47,TGA0111,1.12
2023-06-11,14,TMU1101,6.35
2023-06-11,36,TMU1101,15.12
2023-06-11,30,TNG0551,3.39
2023-06-11,25,WRK2201,7.35
2023-06-11,2,ABY0111,1.00
2023-06-11,14,BEN2202,1.00
2023-06-11,18,BRK0331,66.42
2023-06-11,43,BWK1101,4.39
2023-06-11,29,DVK0111,6.12
2023-06-11,30,HAM0331,3.58
2023-06-11,8,HAM2201,9.62
2023-06-11,25,HOR0331,1.04
2023-06-11,42,OAM0331,2.25
2023-06-11,37,ROS1101,16.24
2023-06-11,40,SWN0251,13.31
2023-06-11,26,TRK0111,9.00
2023-06-11,23,WIL0331,6.88
2023-06-11,46,ARI1102,1.55
2023-06-11,44,DOB0331,2.04
2023-06-11,5,FHL0331,9.06
2023-06-11,13,HEN0331,8.60
2023-06-11,18,KWA0111,63.47
2023-06-11,42,MKE1101,8.99
2023-06-11,15,MPE1101,6.70
2023-06-11,36,PAK0331,15.44
2023-06-11,29,ROS1101,6.80
2023-06-11,7,ROT0111,9.35
2023-06-11,32,SWN0251,1.61
2023-06-11,30,TMN0551,3.53
2023-06-11,27,WAI0501,8.25
2023-06-11,39,WRK2201,14.75
2023-06-11,24,ALB1101,8.75
2023-06-11,43,ARA2201,8.52
2023-06-11,18,ARI1101,61.92
2023-06-11,23,ARI1102,7.25
2023-06-11,8,BLN0331,1.10
2023-06-11,40,GYM0661,3.91
2023-06-11,12,INV2202,0.98
2023-06-11,6,KIN0113,9.27
2023-06-11,30,KIN0331,3.30
2023-06-11,21,MTN0331,9.09
2023-06-11,44,MTO0331,4.59
2023-06-11,3,OPK0331,10.90
2023-06-11,12,OPK0331,14.66
2023-06-11,23,ROS0221,7.91
2023-06-11,26,SDN0331,0.97
2023-06-11,2,STK2201,1.09
2023-06-11,26,TGA0111,9.13
2023-06-11,36,TWI2201,10.10
2023-06-11,28,BEN2202,0.20
2023-06-11,13,HWA0332,8.25
2023-06-11,18,ISL0661,6.10
2023-06-11,35,KBY0662,4.96
2023-06-11,43,MAT1101,8.41
2023-06-11,12,MDN1101,15.72
2023-06-11,38,MTM0331,15.47
2023-06-11,32,OHB2201,0.47
2023-06-11,26,OTI0111,1.05
2023-06-11,45,WDV0111,2.15
2023-06-11,6,WHI0111,9.41
2023-06-11,18,APS0111,6.09
