TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-10,14,CYD2201,0.98
2023-06-10,20,DVK0111,5.40
2023-06-10,20,PEN1101,5.96
2023-06-10,33,RDF0331,2.77
2023-06-10,21,ROX2201,2.76
2023-06-10,28,STK2201,0.02
2023-06-10,5,STU0111,1.04
2023-06-10,15,TKA0331,0.70
2023-06-10,22,TKU2201,2.08
2023-06-10,24,WIL0331,1.82
2023-06-10,13,FKN0331,1.04
2023-06-10,38,GOR0331,4.60
2023-06-10,32,HEN0331,1.85
2023-06-10,41,HWA0331,16.58
2023-06-10,48,HWB2201,1.00
2023-06-10,18,KUM0661,6.76
2023-06-10,32,LFD1102,1.69
2023-06-10,13,MDN2201,3.50
2023-06-10,12,MGM0331,9.73
2023-06-10,32,MTM0331,1.74
2023-06-10,18,SFD0331,10.49
2023-06-10,17,STK2201,5.56
2023-06-10,20,TKU2201,5.43
2023-06-10,1,TMN0551,12.36
2023-06-10,14,WAI0501,1.97
2023-06-10,3,WGN0331,9.86
2023-06-10,10,BPE0551,7.72
2023-06-10,43,GLN0331,15.92
2023-06-10,27,GYT0331,2.48
2023-06-10,43,HUI0331,14.80
2023-06-10,31,KIN0113,1.25
2023-06-10,10,MNG0331,8.26
2023-06-10,20,NSY0331,4.70
2023-06-10,36,OKI2201,125.35
2023-06-10,3,OKN0111,10.10
2023-06-10,32,PAO1101,1.83
2023-06-10,22,PEN0251,2.32
2023-06-10,33,TKB2201,0.20
2023-06-10,36,TUI1101,117.72
2023-06-10,18,ARI1101,9.66
2023-06-10,24,ARI1101,1.84
2023-06-10,3,CPK0331,9.61
2023-06-10,3,DOB0661,1.09
2023-06-10,11,FKN0331,1.03
2023-06-10,30,HKK0661,0.02
2023-06-10,18,HWA0331,10.50
2023-06-10,20,MDN1101,6.14
2023-06-10,30,MTR0331,3.35
2023-06-10,37,OAM0331,5.88
2023-06-10,43,OTI0111,4.42
2023-06-10,20,TAK0331,5.94
2023-06-10,25,WHU0331,5.05
2023-06-10,19,WPR0661,6.73
2023-06-10,42,WPW0331,10.11
2023-06-10,32,WRK2201,1.70
2023-06-10,31,EDG0331,1.27
2023-06-10,19,HAY0331,9.49
2023-06-10,40,HAY2201,48.67
2023-06-10,13,HEP0331,3.50
2023-06-10,23,HWA1101,0.98
2023-06-10,20,HWB2201,4.63
2023-06-10,1,KPO1101,12.72
