TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-02,6,ARA2201,0.01
2023-06-02,11,BPD1101,0.01
2023-06-02,6,BPE2201,0.01
2023-06-02,40,HAY0331,0.62
2023-06-02,28,HEN0331,0.02
2023-06-02,44,KAW0111,0.19
2023-06-02,31,LFD1101,0.02
2023-06-02,8,TNG0551,0.01
2023-06-02,25,TRK0111,0.05
2023-06-02,28,WKM2201,0.02
2023-06-02,7,WPA2201,0.01
2023-06-02,12,EDG0331,0.05
2023-06-02,8,ISL0331,0.01
2023-06-02,29,KOE1101,0.02
2023-06-02,34,KPO1101,0.02
2023-06-02,9,LFD1101,0.01
2023-06-02,5,MDN2201,0.01
2023-06-02,14,OKN0111,1.19
2023-06-02,44,PPI2201,0.19
2023-06-02,36,RFN1102,0.11
2023-06-02,8,TKA0111,0.01
2023-06-02,35,TRK0111,0.07
2023-06-02,24,WEL0331,0.09
2023-06-02,18,GYT0331,2.31
2023-06-02,24,HTI0331,0.08
2023-06-02,20,JRD1101,2.12
2023-06-02,28,KIK2201,0.02
2023-06-02,13,KWA0111,1.88
2023-06-02,41,MST0331,0.24
2023-06-02,8,NAP2201,0.01
2023-06-02,42,OHB2201,0.02
2023-06-02,29,ONG0331,0.02
2023-06-02,48,PRM0331,0.01
2023-06-02,29,RFN1102,0.01
2023-06-02,30,ROT1101,0.02
2023-06-02,14,STK0661,1.19
2023-06-02,12,TGA0331,0.05
2023-06-02,18,TGA0331,2.58
2023-06-02,46,THI2201,0.55
2023-06-02,17,WRK2201,3.50
2023-06-02,11,ALB1101,0.02
2023-06-02,26,ATU1101,0.02
2023-06-02,47,BRY0661,0.02
2023-06-02,30,CYD0331,0.01
2023-06-02,29,HIN0331,0.02
2023-06-02,3,ISL0661,0.01
2023-06-02,36,ISL0661,0.11
2023-06-02,8,KPO1101,0.01
2023-06-02,43,ORO1101,0.41
2023-06-02,9,OWH0111,0.01
2023-06-02,37,TNG0111,0.32
2023-06-02,22,WRK2201,1.33
2023-06-02,29,WTK2201,0.01
2023-06-02,15,HEN2201,2.79
2023-06-02,44,HOR0331,0.18
2023-06-02,46,ISL0661,0.53
2023-06-02,19,KBY0661,2.85
2023-06-02,3,KMO0331,0.01
2023-06-02,47,LFD1101,0.02
2023-06-02,27,MAN2201,0.02
2023-06-02,1,MTM0331,0.01
2023-06-02,45,RDF0331,0.81
2023-06-02,34,TMU1101,0.02
2023-06-02,37,TWZ0331,0.24
2023-06-02,47,WDV0111,0.02
2023-06-02,41,WRK0331,0.25
2023-06-02,30,ARG1101,0.01
2023-06-02,46,BPE0331,0.53
2023-06-02,40,CML0331,0.55
2023-06-02,3,GYT0331,0.01
2023-06-02,10,HAY1101,0.01
2023-06-02,37,HEN0331,0.37
2023-06-02,41,HUI0331,0.25
2023-06-02,22,KAW0112,1.35
2023-06-02,36,KBY0661,0.11
2023-06-02,40,KBY0661,0.60
2023-06-02,19,KIK0111,2.99
2023-06-02,48,MAN2201,0.01
2023-06-02,7,MDN2201,0.01
2023-06-02,18,PPI2201,2.48
2023-06-02,13,SFD0331,2.02
2023-06-02,10,TKU2201,0.01
2023-06-02,31,WEL0331,0.02
